fengyue_rscs_v1.0.1.2096.apk 2018-04-24 23:26:18 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
com.tencent.tmgp.mjqb.v1.0.2.2445.apk 2018-05-18 15:15:18 [gameid:2604 plat:18 紫云-渠道测试包-魔剑奇兵-测试包, bundleId:com.tencent.tmgp.mjqb, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_renyu/, target:21]
com.fy.mjqb.quick.v1.0.2.2446.apk 2018-05-21 16:25:46 [gameid:2605 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_renyu/, target:19]
com.fy.mjqb.quick.v1.0.2.2447.apk 2018-05-21 16:40:22 [gameid:2605 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_renyu/, target:19]
com.fy.mjqb.quick.v1.0.2.2448.apk 2018-05-22 12:00:34 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:19]
com.fy.mjqb.quick.v1.0.2.2451.apk 2018-05-22 23:05:57 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:19]
com.tencent.tmgp.mjqb.v1.0.2.2452.apk 2018-05-23 18:16:09 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:21]
com.tencent.tmgp.mjqb.v1.0.2.2453.apk 2018-05-23 19:46:51 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:21]
com.fy.mjqb.quick.v1.0.2.2454.apk 2018-05-23 19:58:12 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:19]
com.fy.mjqb.quick.v1.0.2.2456.apk 2018-05-26 11:39:49 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:19]
com.fy.mjqb.quick.v1.0.2.2457.apk 2018-05-26 12:09:25 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:19]
com.tencent.tmgp.mjqb.v1.0.2.2458.apk 2018-05-26 12:16:27 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:21]
com.fy.ahzx.v1.0.2.2459.apk 2018-05-28 21:53:49 [gameid:2607 plat:18 紫云-37-暗黑秩序, bundleId:com.fy.ahzx, cdn:http://res-mrcx.hz.37.com.cn/, target:21]
com.fy.ahzx.v1.0.2.2460.apk 2018-05-28 22:43:56 [gameid:2607 plat:18 紫云-37-暗黑秩序, bundleId:com.fy.ahzx, cdn:http://res-mrcx.hz.37.com.cn/, target:21]
com.tencent.tmgp.mjqb.v1.0.2.2461.apk 2018-05-30 14:20:02 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_mjqb/, target:21]
com.tencent.tmgp.mjqb.v1.0.2.2462.apk 2018-06-05 14:30:32 [gameid:2604 plat:18 紫云-渠道测试包-魔剑奇兵-测试包, bundleId:com.tencent.tmgp.mjqb, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_renyu/, target:21]
fengyue_rscs_v1.0.2.2463.apk 2018-06-05 20:34:42 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
fengyue_rscs_v1.0.2.2464.apk 2018-06-19 11:28:45 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
com.fy.mjqb.douyu.v1.0.2.2465.apk 2018-06-21 17:56:20 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://106.75.175.142/publish/, target:21]
com.fy.mjqb.douyu.v1.0.2.2466.apk 2018-06-21 20:31:59 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://106.75.175.142/publish/, target:21]
com.fy.mjqb.douyu.v1.0.2.2467.apk 2018-06-21 21:17:20 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://106.75.175.142/publish/, target:21]
com.fy.mjqb.douyu.v1.0.2.2468.apk 2018-06-21 21:38:48 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://106.75.175.142/publish/, target:21]
com.mjqb.mjmb.A.v1.0.2.2470.apk 2018-06-22 15:53:28 [gameid:2800 plat:20 紫云-哆可梦-魔剑奇兵, bundleId:com.mjqb.mjmb.A, cdn:http://106.75.175.142/publish/, target:21]
com.mjqb.mjmb.A.v1.0.2.2471.apk 2018-06-22 16:33:54 [gameid:2800 plat:20 紫云-哆可梦-魔剑奇兵, bundleId:com.mjqb.mjmb.A, cdn:http://106.75.175.142/publish/, target:21]
com.quleduo.jytx.v1.0.2.2472.apk 2018-06-22 18:19:55 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://106.75.175.142/publish/, target:21]
com.fy.mjqb.douyu.v1.0.2.2473.apk 2018-06-22 20:08:45 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.2.2474.apk 2018-06-22 21:03:15 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/, target:21]
com.fy.mjqb.douyu.v1.0.2.2475.apk 2018-06-23 19:02:14 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/, target:21]
com.fy.mjqb.quick.v1.0.2.2476.apk 2018-06-23 22:58:58 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://res.mjqb.fygame.com/, target:19]
fengyue_rscs_v1.0.2.2477.apk 2018-06-24 03:02:54 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
com.fy.mjqb.quick.v1.0.2.2478.apk 2018-06-25 10:11:16 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://res.mjqb.fygame.com/, target:19]
com.fy.mjqb.douyu.v1.0.2.2479.apk 2018-06-25 10:33:15 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/, target:21]
com.mjqb.mjmb.A.v1.0.2.2480.apk 2018-06-25 10:44:37 [gameid:2800 plat:20 紫云-哆可梦-魔剑奇兵, bundleId:com.mjqb.mjmb.A, cdn:http://res.mjqb.fygame.com/, target:19]
com.quleduo.jytx.v1.0.2.2481.apk 2018-06-25 11:12:28 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.quleduo.jytx.v1.0.2.2482.apk 2018-06-25 16:23:35 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.quleduo.jytx.v1.0.1.2483.apk 2018-06-25 21:46:34 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.quleduo.jytx.v1.0.3.2484.apk 2018-06-26 11:12:09 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.quleduo.jytx.v1.0.3.2485.apk 2018-06-26 17:58:28 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2486.apk 2018-06-26 18:07:07 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2487.apk 2018-06-26 18:50:21 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.fy.mjqb.douyu.v1.0.3.2488.apk 2018-06-26 21:11:48 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2489.apk 2018-06-26 22:01:03 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.quleduo.jytx.v1.0.3.2490.apk 2018-06-27 10:37:45 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.fy.mjqb.douyu.v1.0.3.2491.apk 2018-06-27 15:48:54 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2492.apk 2018-06-27 15:56:40 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.fy.mjqb.quick.v1.0.3.2493.apk 2018-06-27 18:43:46 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://res.mjqb.fygame.com/, target:19]
com.tencent.tmgp.mjqb.v1.0.3.2497.apk 2018-06-28 11:40:59 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.fy.mjqb.douyu.v1.0.3.2498.apk 2018-06-28 16:12:12 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2499.apk 2018-07-02 18:09:06 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.mjqb.mjmb.A.v1.0.3.2500.apk 2018-07-02 18:16:56 [gameid:2800 plat:20 紫云-哆可梦-魔剑奇兵, bundleId:com.mjqb.mjmb.A, cdn:http://res.mjqb.fygame.com/, target:19]
com.tencent.tmgp.mjqb.v1.0.3.2501.apk 2018-07-02 21:09:48 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2502.apk 2018-07-02 21:30:41 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.fy.mjqb.quick.v1.0.3.2503.apk 2018-07-05 15:11:40 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://res.mjqb.fygame.com/, target:19]
com.tencent.tmgp.mjqb.v1.0.3.2504.apk 2018-07-05 15:25:40 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://res.mjqb.fygame.com/, target:21]
com.fy.mjqb.douyu.v1.0.3.2505.apk 2018-07-05 15:45:42 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://res.mjqb.fygame.com/, target:21]
fengyue_rscs_v1.0.1.2507.apk 2018-07-10 16:11:16 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
fengyue_rscs_v1.0.1.2508.apk 2018-07-10 16:34:53 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
fengyue_rscs_v1.0.1.2509.apk 2018-07-10 16:46:58 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
com.fy.mjqb.quick.v1.0.3.2511.apk 2018-07-12 13:49:13 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://jd.res.fygame.com/mjqb/, target:19]
com.tencent.tmgp.mjqb.v1.0.3.2512.apk 2018-07-12 14:03:11 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.3.2513.apk 2018-07-12 14:15:19 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.mjqb.mjmb.A.v1.0.3.2514.apk 2018-07-12 14:24:20 [gameid:2800 plat:20 紫云-哆可梦-魔剑奇兵, bundleId:com.mjqb.mjmb.A, cdn:http://res.mjqb.fygame.com/, target:19]
fengyue_rscs_v1.0.3.2515.apk 2018-07-16 14:59:37 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
com.fy.mjqb.quick.v1.0.3.2516.apk 2018-07-17 12:05:17 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://jd.res.fygame.com/mjqb/, target:19]
com.fy.mjqb.quick.v1.0.3.2517.apk 2018-07-17 12:22:09 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://jd.res.fygame.com/mjqb/, target:19]
com.tencent.tmgp.mjqb.v1.0.3.2518.apk 2018-07-17 13:11:04 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2519.apk 2018-07-17 15:08:56 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.tencent.tmgp.mjqb.v1.0.3.2520.apk 2018-07-19 11:05:36 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.quick.v1.0.3.2521.apk 2018-07-19 18:36:20 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://jd.res.fygame.com/mjqb/, target:19]
com.tencent.tmgp.mjqb.v1.0.3.2522.apk 2018-07-19 18:43:27 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.3.2523.apk 2018-07-19 18:50:05 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.quick.v1.0.3.2524.apk 2018-07-20 14:52:19 [gameid:2608 plat:18 紫云-quick-魔剑奇兵, bundleId:com.fy.mjqb.quick, cdn:http://jd.res.fygame.com/mjqb/, target:19]
com.tencent.tmgp.mjqb.v1.0.3.2525.apk 2018-07-20 15:00:24 [gameid:2609 plat:18 紫云-应用宝-魔剑奇兵, bundleId:com.tencent.tmgp.mjqb, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.3.2526.apk 2018-07-20 15:08:36 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.mjqb.mjmb.A.v1.0.3.2527.apk 2018-07-20 15:18:29 [gameid:2800 plat:20 紫云-哆可梦-魔剑奇兵, bundleId:com.mjqb.mjmb.A, cdn:http://res.mjqb.fygame.com/, target:19]
com.fy.mjqb2.quick.v1.0.3.2528.apk 2018-07-24 15:35:26 [gameid:2615 plat:18 紫云-quick-買量包-魔剑奇兵, bundleId:com.fy.mjqb2.quick, cdn:http://res.mjqb.fygame.com/, target:19]
com.fy.mjqb2.quick.v1.0.3.2529.apk 2018-07-24 15:55:50 [gameid:2615 plat:18 紫云-quick-買量包-魔剑奇兵, bundleId:com.fy.mjqb2.quick, cdn:http://res.mjqb.fygame.com/, target:19]
com.fy.mjqb.douyu.v1.0.3.2530.apk 2018-07-25 11:50:18 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.3.2531.apk 2018-07-25 14:48:32 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.quleduo.jytx.v1.0.3.2532.apk 2018-07-31 11:41:23 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.quleduo.jytx.v1.0.3.2534.apk 2018-07-31 16:52:12 [gameid:2900 plat:21 西游-剑倚天下, bundleId:com.quleduo.jytx, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/xy_renyu/, target:21]
com.fy.mjqb.douyu.v1.0.3.2535.apk 2018-08-02 14:13:28 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://106.75.175.142/publish/, target:21]
fengyue_rscs_v1.0.3.2536.apk 2018-08-09 16:23:19 [gameid:3 plat:0 风月-末日残响（平台测试）, bundleId:com.fy.rycs.dev, cdn:http://106.75.175.142/publish/, target:23]
com.syqy.yx7477.v1.0.3.2537.apk 2018-08-10 11:46:14 [gameid:3000 plat:22 7477-神与契约, bundleId:com.syqy.yx7477, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.3.2538.apk 2018-08-10 12:00:54 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.syqy.yx7477.v1.0.3.2539.apk 2018-08-10 16:32:22 [gameid:3000 plat:22 7477-神与契约, bundleId:com.syqy.yx7477, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.3.2541.apk 2018-08-13 19:21:42 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
com.fy.mjqb.douyu.v1.0.3.2542.apk 2018-08-13 19:45:22 [gameid:2700 plat:19 紫云-斗鱼-魔剑奇兵, bundleId:com.fy.mjqb.douyu, cdn:http://jd.res.fygame.com/mjqb/, target:21]
fengyue_dldl_v1.0.9.2543.apk 2018-08-23 11:25:23 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2544.apk 2018-09-11 18:42:20 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2545.apk 2018-09-11 20:11:42 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2546.apk 2018-09-11 20:20:42 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2547.apk 2018-09-14 17:41:12 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2548.apk 2018-09-29 16:35:40 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2549.apk 2018-10-19 17:24:45 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2550.apk 2018-10-26 17:50:16 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2551.apk 2018-11-03 21:31:53 [gameid:3 plat:0 风月-斗罗大陆（平台测试）, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
fengyue_dldl_v1.0.9.2552.apk 2018-11-09 22:06:25 [gameid:3 plat:0 风月-北冥修仙传, bundleId:com.fy.dldl.dev, cdn:http://111.230.166.121/publish/, target:23]
com.fy.bmxxz.test.v1.0.9.2553.apk 2018-11-13 17:52:47 [gameid:4001 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz.test, cdn:http://111.230.166.121/publish/, target:21]
com.fy.bmxxz.test.v1.0.9.2554.apk 2018-11-13 19:35:37 [gameid:4001 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz.test, cdn:http://111.230.166.121/publish/, target:21]
com.fy.bmxxz.test.v1.0.9.2555.apk 2018-11-13 19:49:38 [gameid:4001 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz.test, cdn:http://111.230.166.121/publish/, target:21]
com.fy.bmxxz.test.v1.0.9.2556.apk 2018-11-13 20:08:39 [gameid:4001 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz.test, cdn:http://111.230.166.121/publish/, target:21]
com.fy.bmxxz.test.v1.0.9.2557.apk 2018-11-13 20:21:44 [gameid:4001 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz.test, cdn:http://111.230.166.121/publish/, target:21]
com.fy.bmxxz.test.v1.0.9.2558.apk 2018-11-13 20:53:56 [gameid:4001 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz.test, cdn:http://111.230.166.121/publish/, target:21]
com.fy.bmxxz.test.v1.0.9.2560.apk 2018-11-13 22:25:09 [gameid:4001 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz.test, cdn:http://111.230.166.121/publish/, target:19]
com.fy.bmxxz.v1.0.9.2561.apk 2018-11-14 15:43:15 [gameid:4000 plat:1 斗罗-北冥修仙传, bundleId:com.fy.bmxxz, cdn:http://dldlgamecdn-1252720922.cos.ap-guangzhou.myqcloud.com/dldl/, target:19]
